Sample in Buffer,Sample in Window,TRIGGER,sc_interrupt_sys/inst[31:0],sc_interrupt_sys/pc[31:0],sc_interrupt_sys/SI_ClkIn,sc_interrupt_sys/SI_Reset_N,sc_interrupt_sys/lock,sc_interrupt_sys/counter[26:0],sc_interrupt_sys/IO_Switch[15:0],sc_interrupt_sys/IO_LED[15:0],sc_interrupt_sys/dbg_imem_cs,sc_interrupt_sys/dbg_imem_we,sc_interrupt_sys/dbg_imem_addr[31:0],sc_interrupt_sys/dbg_imem_din[31:0],sc_interrupt_sys/dbg_dmem_cs,sc_interrupt_sys/dbg_dmem_we,sc_interrupt_sys/dbg_dmem_addr[31:0],sc_interrupt_sys/dbg_dmem_din[31:0],sc_interrupt_sys/dbg_halt_cpu,sc_interrupt_sys/IO_7SEGEN_N[7:0],sc_interrupt_sys/IO_7SEG_N[6:0],sc_interrupt_sys/intr
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
92,92,0,00552823,000000fc,1,1,1,323af6a,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
93,93,0,00552823,000000fc,0,1,1,323af6a,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
94,94,0,34202373,00000008,1,1,1,323af6b,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
95,95,0,34202373,00000008,0,1,1,323af6b,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
96,96,0,00f37393,0000000c,1,1,1,323af6c,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
97,97,0,00f37393,0000000c,0,1,1,323af6c,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
98,98,0,02000e13,00000010,1,1,1,323af6d,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
99,99,0,02000e13,00000010,0,1,1,323af6d,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
100,100,0,01c383b3,00000014,1,1,1,323af6e,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
101,101,0,01c383b3,00000014,0,1,1,323af6e,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
102,102,0,0003a383,00000018,1,1,1,323af6f,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
103,103,0,0003a383,00000018,0,1,1,323af6f,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
104,104,0,00038067,0000001c,1,1,1,323af70,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
105,105,0,00038067,0000001c,0,1,1,323af70,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
106,106,0,00000013,00000024,1,1,1,323af71,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
107,107,0,00000013,00000024,0,1,1,323af71,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
108,108,0,30200073,00000028,1,1,1,323af72,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
109,109,0,30200073,00000028,0,1,1,323af72,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
110,110,0,00552823,000000fc,1,1,1,323af73,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
111,111,0,00552823,000000fc,0,1,1,323af73,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
